ID,Code,Scientific_Name,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source
254,Con_Ere,Conocarpus_erectus,NA,NA,NA,NA
255,Con_Hoo,Condalia_hookeri,NA,NA,NA,NA
256,Cot_Obo,Cotinus_obovatus,NA,NA,NA,NA
257,Cra_Cru,Crataegus_crus-galli,NA,NA,NA,NA
258,Cra_Mol,Crataegus_mollis,NA,NA,NA,NA
259,Dio_Spp,Diospyros_spp.,NA,NA,NA,NA
260,Dio_Tex,Diospyros_texana,NA,NA,NA,NA
261,Dio_Vir,Diospyros_virginiana,NA,NA,NA,NA
262,Ehr_Ana,Ehretia_anacua,NA,NA,NA,NA
263,Ela_Ang,Elaeagnus_angustifolia,NA,NA,NA,NA
264,Euc_Gra,Eucalyptus_grandis,NA,NA,NA,NA
265,Euc_Spp,Eucalyptus_spp.,NA,NA,NA,NA
266,Eug_Rho,Eugenia_rhombea,NA,NA,NA,NA
267,Fic_Aur,Ficus_aurea,NA,NA,NA,NA
268,Fra_Car,Fraxinus_caroliniana,NA,NA,NA,NA
269,Fra_Tex,Fraxinus_texensis,NA,NA,NA,NA
270,Gin_Bil,Ginkgo_biloba,NA,NA,NA,NA
271,Gle_Aqu,Gleditsia_aquatica,NA,NA,NA,NA
272,Gle_Spp,Gleditsia_spp.,NA,NA,NA,NA
273,Hal_Car,Halesia_carolina,NA,NA,NA,NA
274,Hal_Dip,Halesia_diptera,NA,NA,NA,NA
275,Jug_Maj,Juglans_major,NA,NA,NA,NA
276,Jug_Mic,Juglans_microcarpa,NA,NA,NA,NA
277,Jun_Ash,Juniperus_ashei,NA,NA,NA,NA
278,Jun_Coa,Juniperus_coahuilensis,NA,NA,NA,NA
279,Jun_Dep,Juniperus_deppeana,NA,NA,NA,NA
280,Jun_Fla,Juniperus_flaccida,NA,NA,NA,NA
281,Jun_Mon,Juniperus_monosperma,NA,NA,NA,NA
282,Jun_Ost,Juniperus_osteosperma,NA,NA,NA,NA
283,Jun_Pin,Juniperus_pinchotii,NA,NA,NA,NA
284,Lag_Rac,Laguncularia_racemosa,NA,NA,NA,NA
285,Lar_Spp,Larix_spp.,NA,NA,NA,NA
286,Mag_Fra,Magnolia_fraseri,NA,NA,NA,NA
287,Mag_Tri,Magnolia_tripetala,NA,NA,NA,NA
288,Mal_Ang,Malus_angustifolia,NA,NA,NA,NA
289,Mal_Cor,Malus_coronaria,NA,NA,NA,NA
290,Mal_Fus,Malus_fusca,NA,NA,NA,NA
291,Mal_Ioe,Malus_ioensis,NA,NA,NA,NA
292,Mel_Aze,Melia_azedarach,NA,NA,NA,NA
293,Mel_Qui,Melaleuca_quinquenervia,NA,NA,NA,NA
294,Met_Tox,Metopium_toxiferum,NA,NA,NA,NA
295,Mor_Alb,Morus_alba,NA,NA,NA,NA
296,Mor_Mic,Morus_microphylla,NA,NA,NA,NA
297,Mor_Rub,Morus_rubra,NA,NA,NA,NA
298,Nys_Oge,Nyssa_ogeche,NA,NA,NA,NA
299,Per_Spp,Persea_spp.,NA,NA,NA,NA
300,Pic_Pun,Picea_pungens,NA,NA,NA,NA
301,Pin_Cem,Pinus_cembroides,NA,NA,NA,NA
302,Pin_Mon1,Pinus_monophylla,NA,NA,NA,NA
303,Pin_Nig,Pinus_nigra,NA,NA,NA,NA
304,Pin_Rem,Pinus_remota,NA,NA,NA,NA
305,Pis_Pis,Piscidia_piscipula,NA,NA,NA,NA
306,Pla_Aqu,Planera_aquatica,NA,NA,NA,NA
307,Pla_Spp,Platanus_spp.,NA,NA,NA,NA
308,Pop_Alb,Populus_alba,NA,NA,NA,NA
309,Pop_Nig,Populus_nigra,NA,NA,NA,NA
310,Pro_Gla,Prosopis_glandulosa,NA,NA,NA,NA
311,Pro_Pub,Prosopis_pubescens,NA,NA,NA,NA
312,Pro_Spp,Prosopis_spp.,NA,NA,NA,NA
313,Pru_Ame,Prunus_americana,NA,NA,NA,NA
314,Pru_Avi,Prunus_avium,NA,NA,NA,NA
315,Pru_Nig,Prunus_nigra,NA,NA,NA,NA
316,Pru_Per,Prunus_persica,NA,NA,NA,NA
317,Que_Emo,Quercus_emoryi,NA,NA,NA,NA
318,Que_Gam,Quercus_gambelii,NA,NA,NA,NA
319,Que_Gri,Quercus_grisea,NA,NA,NA,NA
320,Que_Hyp,Quercus_hypoleucoides,NA,NA,NA,NA
321,Que_Ili,Quercus_ilicifolia,NA,NA,NA,NA
322,Que_Inc,Quercus_incana,NA,NA,NA,NA
323,Que_Min,Quercus_minima,NA,NA,NA,NA
324,Que_Ogl,Quercus_oglethorpensis,NA,NA,NA,NA
325,Que_Pri,Quercus_prinus,NA,NA,NA,NA
326,Que_Sim,Quercus_similis,NA,NA,NA,NA
327,Que_Sin,Quercus_sinuata,NA,NA,NA,NA
328,Que_Tex,Quercus_texana,NA,NA,NA,NA
329,Rhi_Man,Rhizophora_mangle,NA,NA,NA,NA
330,Roy_Spp,Roystonea_spp.,NA,NA,NA,NA
331,Sab_Pal,Sabal_palmetto,NA,NA,NA,NA
332,Sal_Alb,Salix_alba,NA,NA,NA,NA
333,Sal_Amy,Salix_amygdaloides,NA,NA,NA,NA
334,Sal_Beb,Salix_bebbiana,NA,NA,NA,NA
335,Sal_Car,Salix_caroliniana,NA,NA,NA,NA
336,Sal_Sep,Salix_sepulcralis,NA,NA,NA,NA
337,Sap_Sap,Sapindus_saponaria,NA,NA,NA,NA
338,Sid_Lan,Sideroxylon_lanuginosum,NA,NA,NA,NA
339,Sor_Auc,Sorbus_aucuparia,NA,NA,NA,NA
