ID,Code,Scientific_Name,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source
115,Cat_Spp,Catalpa_spp.,1,0.9397999999999999,FVS FFE,29.3,FVS FFE,2.0,FVS FFE,1.0,FVS FFE
116,Cel_Lae,Celtis_laevigata,1,0.9143999999999999,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
117,Cel_Occ,Celtis_occidentalis,1,0.9143999999999999,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
118,Cel_Spp,Celtis_spp.,1,0.9143999999999999,FVS FFE,30.6,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
119,Cer_Bet,Cercocarpus_betuloides,1,1.1176,FVS FFE,21.8,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
120,Cer_Can,Cercis_canadensis,1,0.889,FVS FFE,35.55,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
121,Cer_Led,Cercocarpus_ledifolius,1,1.1176,FVS FFE,21.8,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
122,Chr_Chr,Chrysolepis_chrysophylla,1,1.1429999999999998,FVS FFE,36.2,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
123,Cor_Flo,Cornus_florida,1,1.0413999999999999,FVS FFE,33.67143,FVS FFE,3.571429,FVS FFE,1.0,FVS FFE
124,Cor_Nut,Cornus_nuttallii,1,1.5748,FVS FFE,27.4,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
125,Cra_Spp,Crataegus_spp.,1,0.9652,FVS FFE,30.875,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
126,Fag_Gra,Fagus_grandifolia,1,0.635,FVS FFE,34.9,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
127,Fra_Ame,Fraxinus_americana,1,1.0668,FVS FFE,34.3,FVS FFE,4.0,FVS FFE,1.0,FVS FFE
